,Date,Open,High,Low,Close,Volume,
,2017-02-10,7.57,7.65,7.56,7.6,8173831,1
,2017-02-09,7.95,7.96,7.78,7.8,9421229,2
1486512000,2017-02-08,7.77,7.91,7.76,7.85,8899744,3
1486425600,2017-02-07,7.86,7.88,7.8,7.85,9784101,4
1486339200,2017-02-06,7.58,7.68,7.57,7.63,8619421,5
1486080000,2017-02-03,7.66,7.75,7.62,7.67,9427855,6
1485993600,2017-02-02,7.85,8.03,7.81,7.95,7800583,7
1485907200,2017-02-01,7.9,7.97,7.88,7.9,8018141,8
1485820800,2017-01-31,7.82,7.91,7.8,7.86,10374330,9
1485734400,2017-01-30,8.1,8.18,8.08,8.1,11641645,10
1485475200,2017-01-27,8.29,8.54,8.24,8.44,8902581,11
1485388800,2017-01-26,8.64,8.75,8.42,8.47,14034684,12
1485302400,2017-01-25,8.33,8.42,8.26,8.39,6112685,13
1485216000,2017-01-24,8.35,8.36,8.2,8.28,6878071,14
1485129600,2017-01-23,8.03,8.23,8.02,8.19,11866838,15
1484870400,2017-01-20,8.27,8.36,8.01,8.05,12353546,16
1484784000,2017-01-19,8.19,8.49,8.14,8.28,9075960,17
1484697600,2017-01-18,8.28,8.42,8.2,8.29,9260420,18
1484611200,2017-01-17,8.5,8.55,8.38,8.45,6266983,19
1484265600,2017-01-13,8.51,8.56,8.38,8.51,8918922,20
1484179200,2017-01-12,8.4,8.61,8.35,8.4,15529851,21
1484092800,2017-01-11,8.29,8.29,8.03,8.19,9527620,22
1484006400,2017-01-10,8.08,8.3,8.06,8.14,18194544,23
1483920000,2017-01-09,7.87,7.87,7.73,7.79,15313421,24
1483660800,2017-01-06,8.3,8.33,8.15,8.17,10345090,25
1483574400,2017-01-05,8.13,8.35,7.92,8.26,24121067,26
1483488000,2017-01-04,8.2,8.26,8.1,8.14,11086331,27
1483401600,2017-01-03,8.58,8.63,8.16,8.34,25786301,28
1483056000,2016-12-30,9.46,9.46,9.21,9.34,9348258,29
1482969600,2016-12-29,9.54,9.64,9.37,9.5,13067890,30
1482883200,2016-12-28,9.33,9.74,9.29,9.63,12295768,31
1482796800,2016-12-27,9.27,9.44,9.22,9.33,13000948,32
1482451200,2016-12-23,9.06,9.29,9.05,9.18,16457650,33
1482364800,2016-12-22,8.92,9.08,8.78,8.88,25988905,34
1482278400,2016-12-21,8.64,9.01,8.63,9,25107764,35
1482192000,2016-12-20,8.29,8.4,8.21,8.32,15810699,36
1482105600,2016-12-19,8.68,8.69,8.51,8.57,11997365,37
1481846400,2016-12-16,8.45,8.62,8.44,8.55,15515645,38
1481760000,2016-12-15,8.84,9.04,8.56,8.64,23131485,39
1481673600,2016-12-14,8.78,8.98,8.75,8.97,15306339,40
1481587200,2016-12-13,8.93,8.94,8.69,8.72,15896747,41
1481500800,2016-12-12,8.95,9.08,8.75,8.84,19854375,42
1481241600,2016-12-09,9.5,9.52,9.22,9.42,32608836,43
1481155200,2016-12-08,9.12,9.4,9,9.37,29892383,44
1481068800,2016-12-07,9.37,9.45,8.97,9.01,37307994,45
1480982400,2016-12-06,9.22,9.36,9.07,9.15,26707286,46
1480896000,2016-12-05,9.05,9.21,9.04,9.04,22335088,47
1480636800,2016-12-02,8.77,8.87,8.51,8.7,28448312,48
1480550400,2016-12-01,8.67,8.88,8.64,8.86,23955440,49
1480464000,2016-11-30,8.43,8.48,8.35,8.43,23874454,50
1480377600,2016-11-29,8.38,8.45,8.26,8.38,21309843,51
1480291200,2016-11-28,8.32,8.44,8.28,8.43,30646419,52
1480032000,2016-11-25,7.95,8.13,7.95,8.08,7041313,53
1479859200,2016-11-23,7.75,8.01,7.73,7.93,37550974,54
1479772800,2016-11-22,7.8,7.91,7.67,7.71,30461385,55
1479686400,2016-11-21,7.7,7.8,7.68,7.79,22373156,56
1479427200,2016-11-18,7.48,7.54,7.44,7.52,17587443,57
1479340800,2016-11-17,7.26,7.36,7.2,7.24,21588422,58
1479254400,2016-11-16,7.37,7.42,7.28,7.39,10354365,59
1479168000,2016-11-15,7.48,7.55,7.22,7.26,19365288,60
1479081600,2016-11-14,7.34,7.45,7.32,7.37,9669772,61
1478822400,2016-11-11,7.07,7.2,6.99,7.06,8278713,62
1478736000,2016-11-10,6.98,7.15,6.91,7.14,12942364,63
1478649600,2016-11-09,6.89,7.36,6.85,7.21,22482492,64
1478563200,2016-11-08,7.23,7.26,6.99,7.01,13883636,65
1478476800,2016-11-07,7.6,7.65,7.46,7.59,5586439,66
1478217600,2016-11-04,7.44,7.54,7.37,7.47,5895722,67
1478131200,2016-11-03,7.47,7.62,7.41,7.41,10400647,68
1478044800,2016-11-02,7.59,7.71,7-Feb-17,7.49,10393273,69
1477958400,2016-11-01,7.77,7.92,6-Feb-17,7.73,15939509,70
1477872000,2016-10-31,8.43,8.45,3-Feb-17,8.08,8102531,71
1477612800,2016-10-28,8.24,8.37,2-Feb-17,8.35,7893971,72
1477526400,2016-10-27,8.14,8.31,1-Feb-17,8.21,13761284,73
1477440000,2016-10-26,8.28,8.36,31-Jan-17,8.19,17873561,74
1477353600,2016-10-25,8.6,8.67,30-Jan-17,8.44,16697276,75
1477267200,2016-10-24,8.96,8.96,27-Jan-17,8.91,7509920,76
1477008000,2016-10-21,9.07,9.09,26-Jan-17,8.99,7556945,77
1476921600,2016-10-20,9.2,9.29,25-Jan-17,9.22,4629749,78
1476835200,2016-10-19,9.23,9.26,24-Jan-17,9.24,3862824,79
1476748800,2016-10-18,9.45,9.51,23-Jan-17,9.39,2327125,80
1476662400,2016-10-17,9.33,9.37,20-Jan-17,9.35,3844812,81
1476403200,2016-10-14,9.47,9.5,19-Jan-17,9.43,5423703,82
1476316800,2016-10-13,9.18,9.64,18-Jan-17,9.56,9904842,83
1476230400,2016-10-12,9.23,9.34,17-Jan-17,9.21,4984070,84
1476144000,2016-10-11,9.23,9.35,13-Jan-17,9.24,9871914,85
1476057600,2016-10-10,9.23,9.42,12-Jan-17,9.36,7920067,86
1475798400,2016-10-07,8.84,9.22,11-Jan-17,9.13,10702442,87
1475712000,2016-10-06,8.71,8.79,10-Jan-17,8.71,8570900,88